slug,name,h1,seo_title,seo_description,full_gost_name,grade,group_name,thickness_mm,width_mm,state,surface,gost,price_per_kg,lead_time,image_filename
lenta-0-02x5-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,02х5 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х5 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.02,5,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-02x5-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x8-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,02х8 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х8 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.02,8,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-02x8-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x10-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,02х10 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х10 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.02,10,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-02x10-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x15-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,02х15 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х15 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.02,15,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-02x15-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x20-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,02х20 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х20 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.02,20,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-02x20-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x25-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,02х25 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х25 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.02,25,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-02x25-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x30-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,02х30 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х30 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.02,30,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-02x30-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x40-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,02х40 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х40 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.02,40,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-02x40-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x50-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,02х50 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х50 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.02,50,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-02x50-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x60-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,02х60 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х60 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.02,60,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-02x60-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x75-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,02х75 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х75 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.02,75,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-02x75-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x80-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,02х80 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х80 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.02,80,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-02x80-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x100-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,02х100 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х100 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.02,100,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-02x100-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x120-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,02х120 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х120 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.02,120,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-02x120-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x150-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,02х150 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х150 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.02,150,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-02x150-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x200-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,02х200 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х200 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.02,200,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-02x200-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-02x250-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,02х250 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,02х250 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.02,250,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-02x250-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-025x3-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,025х3 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,025х3 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.025,3,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-025x3-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-025x5-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,025х5 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,025х5 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.025,5,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-025x5-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-025x8-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,025х8 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,025х8 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.025,8,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-025x8-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-025x10-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,025х10 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,025х10 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.025,10,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-025x10-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-025x15-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,025х15 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,025х15 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.025,15,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-025x15-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-025x20-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,025х20 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,025х20 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.025,20,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-025x20-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-025x25-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,025х25 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,025х25 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.025,25,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-025x25-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-025x30-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,025х30 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,025х30 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.025,30,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-025x30-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-025x40-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,025х40 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,025х40 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.025,40,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-025x40-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-025x50-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,025х50 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,025х50 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.025,50,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-025x50-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-025x60-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,025х60 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,025х60 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.025,60,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-025x60-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-025x75-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,025х75 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,025х75 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.025,75,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-025x75-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-025x80-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,025х80 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,025х80 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.025,80,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-025x80-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-025x100-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,025х100 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,025х100 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.025,100,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-025x100-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-025x120-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,025х120 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,025х120 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.025,120,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-025x120-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-025x150-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,025х150 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,025х150 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.025,150,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-025x150-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-025x200-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,025х200 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,025х200 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.025,200,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-025x200-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-025x250-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,025х250 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,025х250 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.025,250,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-025x250-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-03x3-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,03х3 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,03х3 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.03,3,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-03x3-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-03x5-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,03х5 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,03х5 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.03,5,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-03x5-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-03x8-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,03х8 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,03х8 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.03,8,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-03x8-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-03x10-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,03х10 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,03х10 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.03,10,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-03x10-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-03x15-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,03х15 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,03х15 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.03,15,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-03x15-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-03x20-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,03х20 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,03х20 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.03,20,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-03x20-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-03x25-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,03х25 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,03х25 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.03,25,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-03x25-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-03x30-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,03х30 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,03х30 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.03,30,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-03x30-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-03x40-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,03х40 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,03х40 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.03,40,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-03x40-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-03x50-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,03х50 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,03х50 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.03,50,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-03x50-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-03x60-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,03х60 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,03х60 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.03,60,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-03x60-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-03x75-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,03х75 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,03х75 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.03,75,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-03x75-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-03x80-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,03х80 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,03х80 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.03,80,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-03x80-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-03x100-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,03х100 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,03х100 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.03,100,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-03x100-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-03x120-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,03х120 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,03х120 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.03,120,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-03x120-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-03x150-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,03х150 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,03х150 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.03,150,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-03x150-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-03x200-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,03х200 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,03х200 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.03,200,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-03x200-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-03x250-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,03х250 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,03х250 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.03,250,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-03x250-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-04x3-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,04х3 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,04х3 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.04,3,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-04x3-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
lenta-0-04x5-mm-10kh17n13m3t-nagartovannaya-gost-4986-79,"Лента 0,04х5 мм 10Х17Н13М3Т нагартованная ГОСТ 4986-79",сам впишу,сам впишу,сам впишу,"Лента 0,04х5 10Х17Н13М3Т-Н-НТ-3-В ГОСТ 4986-79",10Х17Н13М3Т,Коррозионно-стойкие стали,0.04,5,Нагартованная,Обычная,ГОСТ 4986-79,,Под заказ,lenta-0-04x5-mm-10kh17n13m3t-nagartovannaya-gost-4986-79.jpg
